"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
Something went wrong in the payment gateway.,Something went wrong in the payment gateway.
The authenticity of the gateway response could not be verified.,The authenticity of the gateway response could not be verified.
Authorize Only,Hanya yang Berwenang
Authorize and Capture,Otorisasi dan Tangkap
Credit Card Type,Tipe kartu kredit
Credit Card Number,Nomor kartu kredit
Expiration Date,Tanggal kadaluarsa
Card Verification Number,Nomor Verifikasi Kartu
Authorize.Net,Authorize.Net
Enabled,Diaktifkan
Basic Authorize.Net Settings,Basic Authorize.Net Settings
Title,Judul
Environment,Lingkungan Hidup
Payment Action,Tindakan Pembayaran
API Login ID,API Login ID
Transaction Key,Kunci transaksi
Public Client Key,Public Client Key
Signature Key,Signature Key
Merchant MD5 (deprecated),Merchant MD5 (deprecated)
Advanced Authorize.Net Settings,Advanced Authorize.Net Settings
Accepted Currency,Accepted Currency
Debug,Debugging
Email Customer,Email Customer
Enable Credit Card Verification Field,Enable Credit Card Verification Field
Credit Card Types,Jenis Kartu Kredit
Payment from Applicable Countries,Pembayaran dari Negara yang Berlaku
Payment from Specific Countries,Pembayaran dari Negara Tertentu
Minimum Order Total,Minimum Total Pesanan
Maximum Order Total,Maksimum Total Total
Sort Order,Pengurutan
Invalid request to gateway.,Invalid request to gateway.
Invalid gateway credentials.,Invalid gateway credentials.
Transaction has been declined. Please try again later.,Transaksi telah ditolak. Silakan coba lagi nanti.
Close,Tutup
options,pilihan
Select all,Pilih Semua
Deselect all,Deselect all
Cancel,Batal
Done,Selesai
Please Select,Silahkan pilih
%s of %s selected,%s of %s selected
B2B Features,B2B Features
Invalid Form Key. Please refresh the page.,Form Key tidak valid. Silakan segarkan halaman.
You entered an invalid Secret Key. Please refresh the page.,Anda memasukkan Kunci Rahasia yang tidak benar. Silakan segarkan halaman.
Cache Storage Management,Manajemen Penyimpanan Cache
Flush Magento Cache,Flush Magento Cache
The cache storage may contain additional data. Are you sure that you want to flush it?,Penyimpanan cache mungkin berisi data tambahan. Apakah Anda yakin ingin menyiramnya?
Flush Cache Storage,Flush Cache Storage
Invalidated,TIdak Berlaku Lagi
Orders,Pesanan
Amounts,Jumlah
Bestsellers,Penjualan terbaik
Most Viewed Products,Produk yang Paling Banyak Dilihat
New Customers,Pelanggan baru
Customers,Pelanggan
Customer,Pelanggan
Guest,Tamu
Items,Item
Total,Jumlah
Lifetime Sales,Penjualan Seumur Hidup
Average Order,Pesanan rata-rata
Average,Rata-rata
Product,Produk
Price,Harga
Quantity,Kuantitas
Views,Tampilan
Revenue,Pendapatan
Tax,Pajak
Shipping,Pengiriman
"Images (.gif, .jpg, .png)","Gambar (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
All Files,Semua data
Reset to Default,Setel ulang ke Default
All Store Views,Semua Tampilan Store
What is this?,Apa ini?
Save Account,Simpan Akun
My Account,Akun saya
Account Information,Informasi Akun
User Name,Nama Pengguna
First Name,Nama depan
Last Name,Nama Belakang
Email,E-mail
User Email,Email pengguna
New Password,Kata sandi baru
Password Confirmation,Konfirmasi kata kunci
Interface Locale,Antarmuka lokal
Current User Identity Verification,Verifikasi Identitas Pengguna Saat Ini
Your Password,Kata sandi Anda
Save Cache Settings,Simpan Setelan Cache
Catalog Rewrites,Ransel katalog
Refresh,Menyegarkan
Images Cache,Gambar Cache
Clear,Kosongkan
Search Index,Indeks Pencarian
Rebuild,Membangun kembali
Inventory Stock Status,Status Stok Persediaan
Rebuild Catalog Index,Rebuild Indeks Katalog
Rebuild Flat Catalog Category,Membangun kembali datar katagori katalog
Rebuild Flat Catalog Product,Membangun kembali datar produk katalog
Cache Control,Kontrol Cache
All Cache,Semua cache
No change,Tidak ada perubahan
Disable,Nonaktifkan
Enable,Memungkinkan
Add Design Change,Tambahkan Perubahan Desain
Back,Kembali
Delete,Hapus
Are you sure?,Apakah kamu yakin?
Save,Menyimpan
Edit Design Change,Edit Perubahan Desain
New Store Design Change,Perubahan Desain Toko Baru
General Settings,Pengaturan Umum
Store,Toko
-- Please Select --,-- Silahkan pilih --
Custom Design,Desain Kustom
Date From,Tanggal dari
Date To,Tanggal ke
Design Change,Perubahan Desain
General,Umum
Cancel,Batal
Delete %1 '%2',Hapus %1 '%2'
Delete %1,Hapus%1
Block Information,Informasi blok
Backup Options,Pilihan cadangan
Create DB Backup,Buat DB Backup
Yes,Ya
No,Tidak
Delete Store,Hapus Simpan
Delete Web Site,Hapus Situs Web
Save Web Site,Simpan Situs Web
Save Store,Simpan toko
Save Store View,Simpan tampilan toko
Delete Store View,Hapus tampilan toko
Edit Web Site,Edit situs web
New Web Site,Situs Web baru
Edit Store,Edit toko
New Store,Toko baru
Edit Store View,Edit tampilan toko
New Store View,Tampilan toko baru
Store Information,Informasi toko
Web Site,Situs web
Name,Nama
Code,Kode
Root Category,Kategori akar
Default Store View,Tampilan Bawaan Toko
Store View Information,Tampilan informasi toko
Status,Subjek
Disabled,Dinonaktifkan
Enabled,Diaktifkan
Sort Order,Pengurutan
Web Site Information,Situs Web informasi
Default Store,Toko Bawaan
Set as Default,Ditetapkan sebagai bawaan
Stores,Toko
Create Website,Buat situs Web
Create Store,Buat toko
Create Store View,Buat tampilan toko
Home,Rumah
Reset,Set ulang
Are you sure you want to do this?,Apakah Anda yakin ingin melakukan ini?
Add New Image,Tambahkan Gambar Baru
Export block for grid %1 is not defined,Ekspor blok untuk jaringan %1 tidak didefinisikan
Reset Filter,Setel ulang filter
Search,Pencarian
Any,Apa saja
All Countries,Semua Negara
From,Dari
To,Ke
Date selector,Seleksi tanggal
[ deleted ],[dihapus]
Select All,Pilih Semua
 [deleted], [dihapus]
We couldn't find any records.,Kami tidak bisa menemukan rekaman apapun.
Add New,Tambah baru
Invalid export type supplied for grid export block,Jenis ekspor tidak valid diberikan untuk blok ekspor kisi
Export,Ekspor
Please correct the column format and try again.,Perbaiki format kolom dan coba lagi.
Please select items.,Silakan pilih item.
Submit,Menyerahkan
Unknown block type,Jenis blok tidak diketahui
Please correct the tab configuration and try again. Tab Id should be not empty,Perbaiki konfigurasi tab dan coba lagi. Id Tab seharusnya tidak kosong
Please correct the tab configuration and try again.,Perbaiki konfigurasi tab dan coba lagi.
You have logged out.,Kamu telah keluar.
Specified cache type(s) don't exist: %1,Tipe(s) cache spesifik tidak ditemukan: %1
The image cache was cleaned.,Cache gambar sudah dibersihkan.
An error occurred while clearing the image cache.,Terjadi kesalahan saat membersihkan cache gambar.
The JavaScript/CSS cache has been cleaned.,Cache JavaScript / CSS telah dibersihkan.
An error occurred while clearing the JavaScript/CSS cache.,Terjadi kesalahan saat menghapus cache JavaScript/CSS.
The static files cache has been cleaned.,Cache file statis telah dibersihkan.
You flushed the cache storage.,Anda memerah penyimpanan cache.
The Magento cache storage has been flushed.,Penyimpanan cache Magento telah memerah.
Cache Management,Manajemen Cache
You can't change status of cache type(s) in production mode,Anda tidak dapat mengubah status tipe cache dalam mode produksi
%1 cache type(s) disabled.,% 1 jenis cache dinonaktifkan.
An error occurred while disabling cache.,Terjadi kesalahan saat menonaktifkan cache.
%1 cache type(s) enabled.,%1 jenis cache(s) diaktifkan.
An error occurred while enabling cache.,Terjadi kesalahan saat mengaktifkan cache.
%1 cache type(s) refreshed.,% 1 jenis cache disegarkan.
An error occurred while refreshing cache.,Terjadi kesalahan saat menyegarkan cache.
Dashboard,Dasbor
We updated lifetime statistic.,Kami memperbarui statistik seumur hidup.
We can't refresh lifetime statistics.,Kami tidak dapat menyegarkan statistik seumur hidup.
invalid request,permintaan tidak sah
see error log for details,lihat log kesalahan untuk rinciannya
Service unavailable: %1,Layanan tidak tersedia:% 1
Error,Kesalahan
Access Denied.,Akses ditolak.
You need more permissions to do this.,Anda membutuhkan lebih banyak izin untuk melakukan ini.
No search modules were registered,Tidak ada modul pencarian yang terdaftar
Please make sure that all global admin search modules are installed and activated.,Pastikan semua modul pencarian admin global terinstal dan diaktifkan.
You saved the account.,Anda menyimpan akun.
An error occurred while saving account.,Terjadi kesalahan saat menyimpan rekening.
You deleted the design change.,Anda menghapus perubahan desain.
You can't delete the design change.,Anda tidak dapat menghapus perubahan desain.
Store Design,Desain Toko
Edit Store Design Change,Edit Perubahan Desain Toko
You saved the design change.,Anda menyimpan perubahan desain.
System,Sistem
Manage Stores,Kelola Toko
The database was backed up.,Database telah dicadangkan.
We can't create a backup right now. Please try again later.,Kami tidak bisa membuat cadangan sekarang. Silahkan coba lagi nanti.
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Menghapus %1 tidak akan menghapus informasi yang terkait dengan %1 (misalnya, kategori, produk, dll.), tapi %1 tidak akan dapat dikembalikan. Disarankan agar anda membuat database cadangan sebelum menghapus %1."
Something went wrong. Please try again.,Ada yang salah. Silahkan coba lagi.
This store cannot be deleted.,Toko ini tidak bisa dihapus.
You deleted the store.,Anda menghapus toko.
Unable to delete the store. Please try again later.,Tidak dapat menghapus toko. Silakan coba lagi nanti.
This store view cannot be deleted.,Tampilan toko ini tidak dapat dihapus.
Store View,Tampilan toko
You deleted the store view.,Anda menghapus tampilan toko.
Unable to delete the store view. Please try again later.,Tidak dapat menghapus tampilan toko. Silakan coba lagi nanti.
This website cannot be deleted.,Situs ini tidak dapat dihapus.
You deleted the website.,Anda menghapus situs web.
Unable to delete the website. Please try again later.,Tidak dapat menghapus situs web. Silakan coba lagi nanti.
The website does not exist.,Situs itu tidak ada.
Before modifying the website code please make sure it is not used in index.php.,Sebelum memodifikasi kode situs web pastikan tidak digunakan dalam index.php.
The store does not exist,Toko itu tidak ada
Store view doesn't exist,Tampilan toko tidak ada
Before modifying the store view code please make sure it is not used in index.php.,Sebelum memodifikasi kode tampilan toko pastikan itu tidak digunakan di index.php.
New ,Baru
All Stores,Semua toko
You saved the website.,Anda menyimpan situs web.
The default store cannot be disabled,Toko standar tidak dapat dinonaktifkan
You saved the store view.,Anda menyimpan tampilan toko.
An inactive store view cannot be saved as default store view,Tampilan toko yang tidak aktif tidak dapat disimpan sebagai tampilan toko standar
You saved the store.,Anda menyimpan toko.
Something went wrong while saving. Please review the error log.,Ada yang tidak beres saat menyimpan. Silakan tinjau log kesalahan.
Last 24 Hours,24 jam terakhir
Last 7 Days,7 hari terakhir
Current Month,Bulan berjalan
YTD,YTD
2YTD,2YTD
Authentication storage is incorrect.,Penyimpanan otentikasi tidak benar.
You did not sign in correctly or your account is temporarily disabled.,Anda tidak masuk dengan benar atau akun Anda untuk sementara dinonaktifkan.
Authentication error occurred.,Terjadi kesalahan otentikasi.
Admin session lifetime must be less than or equal to 31536000 seconds (one year),Waktu sesi admin harus kurang dari atau sama dengan 31536000 detik (satu tahun)
Admin session lifetime must be greater than or equal to 60 seconds,Waktu sesi admin harus lebih besar dari atau sama dengan 60 detik
Order,Memesan
Order #%1,Pesanan #%1
"Sorry, you need permissions to view this content.","Maaf, Anda memerlukan izin untuk melihat konten ini."
Next steps,Langkah berikutnya
"If you think this is an error, try signing out and signing in again.","Jika menurut anda ini adalah kesalahan, coba keluar dan masuk lagi."
Contact a system administrator or store owner to gain permissions.,Hubungi pengelola sistem atau pemilik toko untuk mendapatkan izin.
Return to ,Kembalikan ke
HTTP_REFERER,HTTP_REFERER
previous page,halaman sebelumnya
.,.
javascript:history.back(),javascript:history.back ()
"Welcome, please sign in","Selamat datang, silahkan masuk"
Username,Nama pengguna
user name,nama pengguna
Password,Kata sandi
password,kata Sandi
Sign in,Masuk
Select Range:,Pilih Rentang:
No Data Found,Tidak ada data yang ditemukan
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Grafik dinonaktifkan. Untuk mengaktifkan grafik, klik <a href=""%1"">di sini</a>."
